Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Category
643,181193,800,G-131,"Grace Fellowship Church, INC",483798,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10065,13,0,0,0.0,351,OCONEE,0.0,5/23/2024 14:24,5/28/2024 7:55,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA APPLESAUCE,Fruits
768,177449,84,L-110,Living Word Baptist Church,480069,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10006,13,0,0,0.0,351,OCONEE,0.0,3/19/2024 14:00,3/19/2024 14:29,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA GREEN BEANS,Vegetables
1019,178033,8781,F2KOconee County,F2K Oconee County,480652,,FOOD PANTRY,AT-RISK YOUTH-Agency,BLUE RECEIPT-SHL,N-03-11753,50,0,0,0.0,1150,OCONEE,0.0,4/2/2024 15:00,4/11/2024 13:05,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,,,PURE LEAF SWEET TEA,Beverages
643,179440,800,G-131,"Grace Fellowship Church, INC",482053,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10065,13,0,0,0.0,351,OCONEE,0.0,4/25/2024 15:00,4/25/2024 13:44,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA APPLESAUCE,Fruits
1019,173488,875,F2KOconee County,F2K Oconee County,477117,,FOOD PANTRY,AT-RISK YOUTH-Agency,BLUE RECEIPT-SHL,W-04-10000,286,0,0,0.0,286,OCONEE,0.0,1/23/2024 14:15,2/20/2024 13:41,Price Code 1,TRACTOR TRAILER 2 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,,,"BREAD & BAKERY, ASSORTED SHL",Grains
768,175500,842,L-110,Living Word Baptist Church,478129,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10021,8,0,0,0.0,216,OCONEE,0.0,2/20/2024 14:00,2/23/2024 7:08,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA DICED TOMATOES NO SALT CCC,Vegetables
643,182518,170,G-131,"Grace Fellowship Church, INC",485121,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10007,13,0,0,0.0,364,OCONEE,0.0,6/27/2024 15:00,6/27/2024 16:34,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,"USDA CORN, WHOLE KERNEL NO SALT",Vegetables
1019,176416,8963,F2KOconee County,F2K Oconee County,479040,,FOOD PANTRY,AT-RISK YOUTH-Agency,YELLOW RECEIPT - SHN,N-25-11960,3,0,0,0.0,33,OCONEE,0.0,3/5/2024 15:30,3/20/2024 11:43,Price Code 1,TRACTOR TRAILER 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,,,"TAPIOCA PUDDING, BEST CHOICE",Food Misc.
643,175855,1521,G-131,"Grace Fellowship Church, INC",478483,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10104,25,0,0,0.0,625,OCONEE,0.0,2/22/2024 15:00,2/23/2024 7:08,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA LENTIL BEANS,Proteins
768,182205,6918,L-110,Living Word Baptist Church,484809,,FP/USDA,MOBILE PANTRY-Agency,BLUE RECEIPT-SHL,C-28-90382,31,0,0,0.0,1519,OCONEE,0.0,6/18/2024 14:00,6/18/2024 13:35,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,BI COLOR SWEET CORN,Vegetables
