Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Food Category
631,179751,8931,N-119,New Hope Baptist Church Toccoa,482364,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,SBB-O,N-16-20003,19,0,0,0.0,418,STEPHENS,0.0,5/7/2024 8:30,5/7/2024 7:08,Price Code 1,CONTACT FOR DELIVERY,False,Rabun Warehouse,02,30577.0,Toccoa,SENIOR STAPLES BOX - ASSORTED USDA,Food Misc.
434,180351,5388,P-114,Paradise Mountain Ministries,482957,,ON PREMISES (OP),YOUTH-Agency,BLUE RECEIPT-SHL,F-16-10001,101,0,0,18.18,101,STEPHENS,0.18,5/7/2024 13:42,5/7/2024 12:07,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30577.0,Toccoa,"ASSORTED FROZEN FOODS, SHL",Food Misc.
755,173143,683,R-121,Rehoboth Assembly of God,476773,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-16-10001,22,0,0,3.96,22,STEPHENS,0.18,1/16/2024 13:40,1/16/2024 15:45,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30577.0,Toccoa,MISC. FOOD BOX SHL,Food Misc.
856,181322,9075,F2KS,Food 2 Kids Stephens County,483926,,DIRECT ASSISTANCE,DIRECT ASSISTANCE-Agency,BLUE RECEIPT-SHL,N-03-11837,44,0,0,0.0,1320,STEPHENS,0.0,5/29/2024 12:00,6/1/2024 5:02,Price Code 1,TRUCK 1,False,Food Bank of Northeast Georgia,01,,Athens,GATORADE STRAWBERRY LEMONADE,Beverages
722,181522,8976,M-136,Miracles Happen Recovery Residence INC,FAIMPORT484126,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,MCC-28-10001,13,0,0,0.0,13,STEPHENS,0.0,5/27/2024 0:00,5/27/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30577.0,Toccoa,"PRODUCE, SHL RETAIL PICKUPS",Mixed Produce
568,176110,3943,F-134,Full Gospel Baptist Church,478737,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10268,7,0,0,7.98,266,STEPHENS,0.03,3/8/2024 15:39,3/8/2024 8:15,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30557.0,Martin,USDA APPLE JUICE,Beverages
1042,179468,4788,H-160,HighPoint Community Worship Center,482081,,FP/USDA,FOOD PANTRY-Agency,USDA,F-50-90039,7,0,0,50.4,280,STEPHENS,0.18,4/26/2024 10:00,4/26/2024 10:08,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30577.0,Toccoa,USDA CATFISH FILLETS CCC,Proteins
922,182411,3203,T-126,The Springs of Toccoa,485015,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10289,13,0,0,0.0,325,STEPHENS,0.0,6/28/2024 8:15,6/28/2024 15:34,Price Code 1,CONTACT FOR DELIVERY,False,Rabun Warehouse,02,30577.0,Toccoa,USDA PECAN PIECES,Proteins
1046,182389,9036,G-136,"Greater Hearts Outreach Ministries, Inc.",484993,,FP/GNAP/USDA,FAITH-BASED-Agency,GNAP,N-40-10273,12,0,0,0.0,168,STEPHENS,0.0,6/26/2024 11:00,6/26/2024 17:02,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30557.0,Martin,GNAP PASTA O'S IN TOMATO SAUCE,Prepared Meals
760,177133,7082,T-121,The Hope Center (Toccoa Soup Kitchen),479754,,OP/USDA,SOUP KITCHEN-Agency,USDA,C-50-10033,4,0,0,0.0,48,STEPHENS,0.0,3/13/2024 14:55,3/13/2024 7:26,Price Code 1,CONTACT FOR DELIVERY,False,Rabun Warehouse,02,30577.0,Toccoa,USDA SHREDDED YELLOW CHEDDAR CHEESE CCC,Dairy
704,173253,5388,Z-100,Zebulon Baptist Church,476882,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-16-10001,77,0,0,13.86,77,STEPHENS,0.18,1/18/2024 8:46,1/18/2024 13:39,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30577.0,Toccoa,"ASSORTED FROZEN FOODS, SHL",Food Misc.
722,177384,8970,M-136,Miracles Happen Recovery Residence INC,FAIMPORT480004,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,MCW-16-10001,24,0,0,0.0,24,STEPHENS,0.0,3/14/2024 0:00,3/14/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30577.0,Toccoa,"MISC. FOOD BOX, SHL RETAIL PICKUP",Food Misc.
760,178521,8690,T-121,The Hope Center (Toccoa Soup Kitchen),481137,,OP/USDA,SOUP KITCHEN-Agency,USDA,N-50-10302,8,0,0,20.16,112,STEPHENS,0.18,4/10/2024 14:55,4/10/2024 14:16,Price Code 1,TRUCK 1,False,Rabun Warehouse,02,30577.0,Toccoa,USDA GREEN BEANS CCC,Vegetables
546,175545,84,H-137,Hill Street Baptist Church,478174,,FP/USDA,FAITH-BASED-Agency,USDA,N-50-10006,5,0,0,24.3,135,STEPHENS,0.18,2/15/2024 15:21,2/15/2024 8:12,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30577.0,Toccoa,USDA GREEN BEANS,Vegetables
558,176687,1045,B-132,Boys and Girls Club Toccoa,479310,,OP/GNAP,BOYS AND GIRLS CLUB-Agency,BLUE RECEIPT-SHL,W-25-10009,25,0,0,4.5,25,STEPHENS,0.18,3/5/2024 10:40,3/5/2024 10:58,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30577.0,Toccoa,"ASSORTED SNACK ITEMS, SHL",Food Misc.
760,179450,8497,T-121,The Hope Center (Toccoa Soup Kitchen),482063,,OP/USDA,SOUP KITCHEN-Agency,USDA,C-50-10048,2,0,0,3.2,64,STEPHENS,0.05,4/26/2024 14:55,4/26/2024 7:12,Price Code 1,TRUCK 1,False,Rabun Warehouse,02,30577.0,Toccoa,USDA MANDARIN ORANGES,Fruits
968,177795,8976,C-180,Circle of Hope Transitional Housing,FAIMPORT480414,,ON PREMISES (OP),RESIDENTIAL-Agency,BLUE RECEIPT-SHL,MCC-28-10001,34,0,0,0.0,34,STEPHENS,0.0,3/21/2024 0:00,3/21/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30571.0,Eastanollee,"PRODUCE, SHL RETAIL PICKUPS",Mixed Produce
722,178178,8971,M-136,Miracles Happen Recovery Residence INC,FAIMPORT480796,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,MCF-16-10001,62,0,0,0.0,62,STEPHENS,0.0,3/25/2024 0:00,3/25/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30577.0,Toccoa,"FROZEN FOODS, MISC SHL RETAIL PICKUP",Food Misc.
704,178923,8997,Z-100,Zebulon Baptist Church,481537,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10312,13,0,0,28.08,156,STEPHENS,0.18,4/18/2024 13:30,4/18/2024 13:58,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30577.0,Toccoa,USDA CHILI W/ BEANS CCC,Prepared Meals
