Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Category
321,173424,8834,R-111,Royston Housing Authority,477053,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,N-03-11770,2,0,0,0.6,20,FRANKLIN,0.03,1/25/2024 14:45,1/25/2024 12:46,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30662.0,Royston,MT DEW ZERO SUGAR,Beverages
157,176949,690,N-103,New Beginnings Ministry,479571,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-03-10013,83,0,0,2.49,83,FRANKLIN,0.03,3/8/2024 13:34,3/8/2024 11:28,Price Code 1,CONTACT FOR DELIVERY,False,Sharing Floor Athens,01-SH,30557.0,Martin,"ASSORTED BEVERAGES, SHL",Beverages
321,178710,8972,R-111,Royston Housing Authority,FAIMPORT481324,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,MCF-15-10000,14,0,0,0.0,14,FRANKLIN,0.0,4/9/2024 0:00,4/9/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30662.0,Royston,"FROZEN MEAT & SEAFOOD, SHL RETAIL PICKUP",Proteins
916,180949,690,W-125,World Outreach Ministries (d/b/a Ignited Church),483555,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-03-10013,21,0,0,0.0,21,FRANKLIN,0.0,5/16/2024 9:35,5/16/2024 13:53,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30553.0,Lavonia,"ASSORTED BEVERAGES, SHL",Beverages
916,182549,688,W-125,World Outreach Ministries (d/b/a Ignited Church),485152,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-01-10000,17,0,0,0.0,17,FRANKLIN,0.0,6/25/2024 9:35,6/25/2024 13:46,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30553.0,Lavonia,"ASSORTED NON-FOOD ITEMS, SHL",Non-Food Misc.
916,178136,696,W-125,World Outreach Ministries (d/b/a Ignited Church),480755,,FOOD PANTRY,FOOD PANTRY-Agency,LOCAL - LL,W-25-10000,24,0,0,4.32,24,FRANKLIN,0.18,4/2/2024 9:35,4/2/2024 15:00,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30553.0,Lavonia,"ASSORTED SNACK ITEMS, LL",Food Misc.
157,180718,6655,N-103,New Beginnings Ministry,483324,,ON PREMISES (OP),REHAB-Agency,LOCAL - LL,C-28-90413,1,0,0,0.0,50,FRANKLIN,0.0,5/17/2024 0:00,5/17/2024 10:44,Price Code 1,CONTACT FOR DELIVERY,False,Food Bank of Northeast Georgia,01,30557.0,Martin,CABBAGE,Vegetables 
179,182301,9075,R-100,Rainbow Pantry,484905,,FP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-03-11837,3,0,0,0.0,90,FRANKLIN,0.0,6/26/2024 11:30,6/27/2024 13:17,Price Code 1,CONTACT FOR DELIVERY,False,Food Bank of Northeast Georgia,01,30662.0,Royston,GATORADE STRAWBERRY LEMONADE,Beverages
941,175109,842,L-117,Lavonia Church of God,477739,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10021,13,0,0,0.0,351,FRANKLIN,0.0,2/8/2024 7:00,2/8/2024 8:39,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30553.0,Lavonia,USDA DICED TOMATOES NO SALT CCC,Vegetables 
321,178707,8970,R-111,Royston Housing Authority,FAIMPORT481321,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,MCW-16-10001,58,0,0,0.0,58,FRANKLIN,0.0,4/9/2024 0:00,4/9/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30662.0,Royston,"MISC. FOOD BOX, SHL RETAIL PICKUP",Food Misc.
